chapter	edited	apparatus_entries	file
SS.6.52	no	210	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.53	no	82	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.54	no	153	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.55	no	195	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.56	no	117	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.57	no	120	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.58	no	173	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.59	no	137	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.60	no	235	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.61	no	113	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.62	no	140	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.63	no	138	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.64	yes	398	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.65	yes	253	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.66	no	106	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
